ts_utc,domain,scheme,found_path,status,bytes,sha256,saved_to,content_type
2026-01-26T20:31:46+00:00,www.bendsource.com,https,/.well-known/trust.txt,200,512,f0259511b0f30087d061228b924732c8b5b2df2d63ff40f5ad905c1cb1329208,/root/trusttxt-env/crawler/output/found/www.bendsource.com/https_.well-known_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T20:32:06+00:00,www.bestsreview.com,https,/.well-known/trust.txt,200,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,/root/trusttxt-env/crawler/output/found/www.bestsreview.com/https_.well-known_trust.txt.txt,text/html
2026-01-26T20:33:31+00:00,www.billtrack50.com,https,/trust.txt,200,345,c8109040b536e897c567b0c87005404ef788a8753079220c9068dfc3cfa8eb15,/root/trusttxt-env/crawler/output/found/www.billtrack50.com/https_trust.txt.txt,text/plain
2026-01-26T20:38:36+00:00,www.bostonherald.com,https,/trust.txt,200,217,a22ea9c80c843b21850e95ef37ffa503fb17956699cdcf38e4f5864788aff7b4,/root/trusttxt-env/crawler/output/found/www.bostonherald.com/https_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T20:39:44+00:00,www.breckenridgeamerican.com,https,/.well-known/trust.txt,200,912,9f3471fc8fe4c81cea7ea9f4944da0d7d82668f3d880d83aa26164aad5d76e10,/root/trusttxt-env/crawler/output/found/www.breckenridgeamerican.com/https_.well-known_trust.txt.txt,text/plain; charset=UTF-8
2026-01-26T20:40:32+00:00,www.bristownews.com,https,/.well-known/trust.txt,200,837,99bba756092a6d40384de1ba520c61d6226aa6db679c84924b52e30f431f06f1,/root/trusttxt-env/crawler/output/found/www.bristownews.com/https_.well-known_trust.txt.txt,text/plain; charset=UTF-8
2026-01-26T20:41:02+00:00,www.broomfieldenterprise.com,https,/trust.txt,200,233,0fb6a0446b0ad88cb7b7b220f44de32852adbcf8a3c1e79dab7e1351f583f1a3,/root/trusttxt-env/crawler/output/found/www.broomfieldenterprise.com/https_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T20:43:43+00:00,www.burlington-record.com,https,/trust.txt,200,227,f225ae2c5c4c206e384d4005aca61ac854337211c69f0172d6fff34bc83f70ff,/root/trusttxt-env/crawler/output/found/www.burlington-record.com/https_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T20:45:39+00:00,www.cameronherald.com,https,/.well-known/trust.txt,200,882,f1a26a2bc156e5b2c88fb0efd8587606f851c94ed98d1eba6307c7a9329ea86c,/root/trusttxt-env/crawler/output/found/www.cameronherald.com/https_.well-known_trust.txt.txt,text/plain;charset=UTF-8
2026-01-26T20:45:43+00:00,www.campcountynow.com,https,/.well-known/trust.txt,200,434,60b45378f499149aed9c5390a71c0c08ee18701205bfa816b9fe845be151eb94,/root/trusttxt-env/crawler/output/found/www.campcountynow.com/https_.well-known_trust.txt.txt,text/plain;charset=UTF-8
2026-01-26T20:47:02+00:00,www.canadianrecord.com,https,/.well-known/trust.txt,200,997,e7d983126025911c10853cd9066b04bd7a075f5fe6b191cf32cc1fb63d186c69,/root/trusttxt-env/crawler/output/found/www.canadianrecord.com/https_.well-known_trust.txt.txt,text/plain; charset=UTF-8
2026-01-26T20:47:56+00:00,www.canoncitydailyrecord.com,https,/trust.txt,200,233,f90aac6c6b67e98eb700f83b9189c078cc895015ba2bc9b248308819987b46aa,/root/trusttxt-env/crawler/output/found/www.canoncitydailyrecord.com/https_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T20:48:41+00:00,www.capitalgazette.com,https,/trust.txt,200,221,a5df5c5c283e14011b2a0552142cf169afb7762cdb24e728d475f1110dedd851,/root/trusttxt-env/crawler/output/found/www.capitalgazette.com/https_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T20:48:45+00:00,www.caprockcourier.com,https,/.well-known/trust.txt,200,970,234d8d5f5cdfff28a4329c3cdb6b6e3ab12605fe1724ddaa683b235697683f13,/root/trusttxt-env/crawler/output/found/www.caprockcourier.com/https_.well-known_trust.txt.txt,text/plain; charset=UTF-8
2026-01-26T20:49:29+00:00,www.carrizospringsjavelin.com,https,/.well-known/trust.txt,200,3235,9be1318cf73d38467b2328cc6f965bcf461dd113cad6f6748156992eee83cb8c,/root/trusttxt-env/crawler/output/found/www.carrizospringsjavelin.com/https_.well-known_trust.txt.txt,text/html; charset=UTF-8
2026-01-26T20:50:03+00:00,www.casscountynow.com,https,/.well-known/trust.txt,200,1002,0527937538a163bd416e88d5b70a5f459fe784943f4b00234a0b9042b0443e6e,/root/trusttxt-env/crawler/output/found/www.casscountynow.com/https_.well-known_trust.txt.txt,text/plain;charset=UTF-8
2026-01-26T20:55:42+00:00,www.chicagotribune.com,https,/.well-known/trust.txt,200,5755,b1678b5cd33e0f940deadb4d7ce122826dcd233f12e3abc13455417c90bd901b,/root/trusttxt-env/crawler/output/found/www.chicagotribune.com/https_.well-known_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T20:56:19+00:00,www.chinadaily.com.cn,https,/.well-known/trust.txt,200,6797,b0f490c7abcae2df356c00d07bdc25bb64f52955da17a4aa20ed869b78b84206,/root/trusttxt-env/crawler/output/found/www.chinadaily.com.cn/https_.well-known_trust.txt.txt,text/html
2026-01-26T20:57:03+00:00,www.chronogram.com,https,/.well-known/trust.txt,200,409,792b7f4a4f26452f9530d9aa15e23321b6ec3204d9441f3e98176b0217392c84,/root/trusttxt-env/crawler/output/found/www.chronogram.com/https_.well-known_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T20:57:39+00:00,www.citizensvoice.com,https,/.well-known/trust.txt,200,5754,ea6c5553569252a8ef71a7f7978c0eb02a8a2dd04275c80c9df29015adf8f630,/root/trusttxt-env/crawler/output/found/www.citizensvoice.com/https_.well-known_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T20:58:00+00:00,www.citybeat.com,https,/.well-known/trust.txt,200,438,8139a9fdc5db7ca4fff30b6cc0d3392f885dd23f28ceecd49c614443e0d5f7a6,/root/trusttxt-env/crawler/output/found/www.citybeat.com/https_.well-known_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T20:59:31+00:00,www.clevescene.com,https,/.well-known/trust.txt,200,429,08c90bbeece2081f646f130c3cc8b1fb6b020bb0bdcc8b5696db715fb4a6c063,/root/trusttxt-env/crawler/output/found/www.clevescene.com/https_.well-known_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T21:00:14+00:00,www.clintondailynews.com,https,/.well-known/trust.txt,200,905,779944e8db666c080cf6722651a3ca8cb63d93307296a36b321ed5ace54c8944,/root/trusttxt-env/crawler/output/found/www.clintondailynews.com/https_.well-known_trust.txt.txt,text/plain;charset=UTF-8
2026-01-26T21:00:35+00:00,www.cltampa.com,https,/.well-known/trust.txt,200,426,9d4644b39ae4f826dbd3c5c826f2c004afe9f532c53e5b1fb8885223504cb29b,/root/trusttxt-env/crawler/output/found/www.cltampa.com/https_.well-known_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T21:01:53+00:00,www.coalgaterecordregister.com,https,/.well-known/trust.txt,200,908,d487ef19949295a2c6f6f51ac1a93184e66afb59cf894ef523053e353ee6a21b,/root/trusttxt-env/crawler/output/found/www.coalgaterecordregister.com/https_.well-known_trust.txt.txt,text/plain; charset=UTF-8
2026-01-26T21:02:05+00:00,www.colabnews.co,https,/trust.txt,200,6650,c2eaa8bb3e05bce9a1ab7d8e1ee881e16a1728b049063e5585cf7345903d4fd4,/root/trusttxt-env/crawler/output/found/www.colabnews.co/https_trust.txt.txt,text/plain;charset=UTF-8
2026-01-26T21:03:05+00:00,www.coloradodaily.com,https,/trust.txt,200,219,ab9d5d48ac11a749c464296e0a9454b9917472a5aed6b60c1d7f3d6272d830f0,/root/trusttxt-env/crawler/output/found/www.coloradodaily.com/https_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T21:03:10+00:00,www.coloradofoic.org,https,/trust.txt,200,1708,c6fc054ccc6ff3f158285ffe831c13a98e6e4b30806bbb98d0bbc0a016b26281,/root/trusttxt-env/crawler/output/found/www.coloradofoic.org/https_trust.txt.txt,text/plain;charset=UTF-8
2026-01-26T21:03:13+00:00,www.coloradohometownweekly.com,https,/trust.txt,200,237,bb184678ac0748a1319f5daca99a7dcf9f3259e5c7e6eda0b06d51c6447ca151,/root/trusttxt-env/crawler/output/found/www.coloradohometownweekly.com/https_trust.txt.txt,text/plain;charset=utf-8
2026-01-26T21:03:35+00:00,www.coloradopressassociation.com,https,/trust.txt,200,6050,12fd78fab145fa4930ea5351442aff15288cacc91e624b0cd42ed143acc7e0ac,/root/trusttxt-env/crawler/output/found/www.coloradopressassociation.com/https_trust.txt.txt,text/plain;charset=UTF-8
